personID,gender,i10,h,maxcit,firstyrpub
ID1,M,320,163,7029,1975
ID2,M,549,162,12097,1950
ID3,M,334,109,21435,1969
ID4,M,383,125,23249,1980
ID5,M,322,143,5429,1980
ID6,M,271,92,12343,1968
ID7,M,341,136,10611,1977
ID8,M,222,105,19686,1986
ID9,M,363,123,6766,1965
ID10,M,242,74,1510,1995
ID11,F,256,97,8440,1985
ID12,F,192,72,17063,1977
ID13,F,133,55,21234,1999
ID14,F,119,73,10611,1977
ID15,F,201,89,6886,1983
ID16,F,191,96,4253,1973
ID17,F,75,46,21463,2000
ID18,F,140,65,1624,1976
ID19,F,83,51,3665,1982
ID20,F,81,36,9579,1996
ID21,M,3,6,60,2015
ID22,M,18,16,581,2010
ID23,F,16,13,21939,2010
ID24,M,48,31,4501,2013
ID25,M,12,12,252,2009
ID26,F,39,23,235,2006
ID27,F,21,15,63,2009
ID28,F,37,25,1196,2007
ID29,F,3,5,141,2015
ID30,F,25,17,257,2006
ID31,F,7,8,61,2013
ID32,M,19,14,83,2009
ID33,M,6,6,64,2012
ID34,F,13,12,97,2007
ID35,M,22,19,222,2010
ID36,F,2,2,24,2016
ID37,F,28,21,926,2010
ID38,M,15,12,64,2010
ID39,M,9,9,57,2010
ID40,M,4,5,23,2017
ID41,M,17,16,53,2009
ID42,M,10,10,68,2012
ID43,F,6,8,84,2008
ID44,F,18,15,598,2009
ID45,M,1,1,11,2016
ID46,F,4,4,51,2018
ID47,M,29,22,269,2009
ID48,F,217,99,4786,1980
ID49,F,43,25,481,2009
ID50,M,73,37,703,2005
ID51,M,57,34,703,2004
ID52,F,14,13,294,2015
ID53,F,26,20,207,2008
ID54,M,27,20,225,2005
ID55,F,16,14,1335,2012
ID56,M,111,57,2101,2001
ID57,F,9,9,238,2015
ID58,M,71,32,571,2006
ID59,M,51,32,266,2005
ID60,F,15,14,85,2010